Rank,Name,Platform,Year,Genre,Publisher,NA_Sales_M,EU_Sales_M,JP_Sales_M,Other_Sales_M,Global_Sales_M,Regional_Sum,Sales_Diff,log_Global_Sales_M,log_NA_Sales_M,log_EU_Sales_M,log_JP_Sales_M,Era,Publisher_Strength
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,82.74000000000001,-1.4210854715202004e-14,4.4277167605909975,3.74926875412672,3.401863826205316,1.5623463049002497,Shooter Boom,0.20027711637542542
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,40.24,0.0,3.719408659148759,3.403860499081639,1.5216989981260935,2.0554049638515943,Early Emergence,0.20027711637542542
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,35.830000000000005,-0.010000000000005116,3.6060411758049318,2.8243506567983707,2.6304489550786583,1.5665304114228238,Shooter Boom,0.20027711637542542
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,33.0,0.0,3.5263605246161616,2.8183982582710754,2.485739636091892,1.4539530095937054,Shooter Boom,0.20027711637542542
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,31.380000000000003,-0.010000000000001563,3.477232067938153,2.50715725872282,2.2915241456346207,2.4176979000945504,RPG Dominance,0.20027711637542542
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,30.259999999999998,3.552713678800501e-15,3.4423393249933305,3.186352633162641,1.1817271953786161,1.6524974018945473,Early Emergence,0.20027711637542542
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,30.009999999999998,3.552713678800501e-15,3.4343097331123578,2.5160822672564502,2.325324579963535,2.0149030205422647,Shooter Boom,0.20027711637542542
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,29.009999999999998,0.010000000000001563,3.401863826205316,2.710048203764883,2.322387720290225,1.3686394258811698,Shooter Boom,0.20027711637542542
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,28.61,0.010000000000001563,3.3884498088396526,2.7466296830696852,2.086913556518537,1.7404661748405044,Shooter Boom,0.20027711637542542
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,28.31,0.0,3.377928754722801,3.3297013799570854,0.48858001481867097,0.2468600779315258,Early Emergence,0.20027711637542542
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,24.75,0.010000000000001563,3.248822901236153,2.309560706730471,2.4849066497880004,1.0750024230289759,Shooter Boom,0.20027711637542542
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,23.43,-0.00999999999999801,3.1954024686825586,2.380471631651117,2.1482677326096886,1.635105659182678,Shooter Boom,0.20027711637542542
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,23.09,0.010000000000001563,3.1822118404966093,2.302585092994046,1.9712993830601329,2.1041341542702074,RPG Dominance,0.20027711637542542
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,22.72,0.0,3.1663185741295248,2.2965670206684825,2.200552367428894,1.5260563034950494,Shooter Boom,0.20027711637542542
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,22.0,0.0,3.1354942159291497,2.3115448343655176,2.2607208888953467,1.2612978709452054,Shooter Boom,0.20027711637542542
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,21.82,0.0,3.1276373444339294,2.770711962226921,1.7817091333745536,0.2151113796169455,Shooter Boom,0.027553573590540375
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,21.39,0.00999999999999801,3.109060958860994,2.080690761080268,2.329227023940467,0.6780335427498971,Post-Peak,0.04478927048441557
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,20.810000000000002,-3.552713678800501e-15,3.0823685802135374,2.344686269012681,0.33647223662121295,0.3435897043900769,Transition,0.04478927048441557
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,20.62,-0.010000000000001563,3.0731561705187946,2.6232182655855123,1.55814461804655,1.5129270120532565,RPG Dominance,0.20027711637542542
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,20.220000000000002,-3.552713678800501e-15,3.054944133185837,1.749199854809259,2.3282528397426234,1.6409365794934714,Shooter Boom,0.20027711637542542
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,18.35,0.00999999999999801,2.963209081848431,2.004179057179289,1.7083778602890038,1.951608170169951,Shooter Boom,0.20027711637542542
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,18.14,0.0,2.9517803860248084,2.4706386779902956,1.3110318766193438,1.6448050562713916,Early Emergence,0.20027711637542542
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,17.28,0.0,2.905807566026004,2.355177543113216,1.4906543764441333,1.5769147207285403,Early Emergence,0.20027711637542542
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,16.380000000000003,-3.552713678800501e-15,2.8553201198372458,2.363680192353857,1.8421356765531218,0.058268908123975775,Post-Peak,0.04478927048441557
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,16.150000000000002,-3.552713678800501e-15,2.841998173611949,2.2417729535972883,1.8702625307159986,0.3852624007906449,Transition,0.04478927048441557
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,15.84,0.009999999999999787,2.8243506567983707,1.9544450515051506,1.589235205116581,1.8531680973566984,Transition,0.20027711637542542
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,15.32,0.0,2.792391349535961,1.8825138324965192,1.4539530095937054,1.8946168546677629,Shooter Boom,0.20027711637542542
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,15.3,0.0,2.791165107812717,1.4906543764441333,1.8500283773520307,1.843719208158766,Shooter Boom,0.20027711637542542
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,14.969999999999999,0.010000000000001563,2.7713379403381286,2.060513531794317,1.8066480817218056,1.0543120297715298,Transition,0.06810202187336051
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,14.76,0.0,2.757475084429733,2.305580601973844,1.66392609771817,0.12221763272424921,Shooter Boom,0.08154978902385981
